"","GSM8093099_E2477-1_PrimeView_.CEL","GSM8093100_E2477-2_PrimeView_.CEL","GSM8093101_E2477-3_PrimeView_.CEL","GSM8093102_E2478-1_PrimeView_.CEL","GSM8093103_E2478-2_PrimeView_.CEL","GSM8093104_E2478-3_PrimeView_.CEL"
"HIST1H3G",4.08525378169234,4.1952954194048,4.13752078215584,4.64050612128272,4.58139408282301,4.69932784768252
"HIST1H3G",7.1346427943426,7.02511611787312,7.22977627203958,7.25736698277449,7.39389786066292,7.4255292792496
"HIST1H3G",4.93917096836857,5.04338850233397,5.06840711565563,5.42123184542733,5.41114855109486,5.51471435143663
"TNFAIP8L1",6.79728563473618,6.75000097300029,6.6437744482483,5.16619863837926,5.39763837638221,5.16352521514324
"OTOP2",5.22993956004524,5.15067886837451,5.26019163818058,5.42310705494453,5.28165072919578,5.73224130717055
"C17orf78",3.46292751987127,3.39496466882057,3.50451374194363,3.69363995818523,3.43399644997705,3.36989056517442
"CTAGE15 /// CTAGE6",4.65899328205933,4.49033389222562,4.62741634324512,4.18889186569614,4.55248675694032,4.44939281899271
"F8A1 /// F8A2 /// F8A3",7.75044265839372,7.69428161153285,7.63569990299779,7.27742901263933,7.404648541194,7.28856828887576
"LINC01098",3.60429390567876,3.70815541804091,3.83539264063801,3.57927405822918,3.71362956830402,3.64563047778351
"SAMD7",3.62252814606944,3.42387028284252,3.62448680252855,3.50114863073309,3.61093914519974,3.54078725766644
"ARRDC5",6.05498623602381,5.9129904004461,5.97187027366217,6.00263493213727,5.99385688954202,5.91369648544559
"CGB /// CGB1 /// CGB2 /// CGB5 /// CGB7 /// CGB8",8.568990374322,8.63584666772105,8.6488126941317,9.02362160447479,8.96441206035165,8.86674066126742
"ERICH3",3.63312315557401,3.30603795823124,3.31290182319438,3.55847700635515,3.33843250736452,3.38896121872904
"FAM86C1",8.08482790649361,7.97325235210483,8.11075078410924,8.66145524112767,8.71620555468854,8.71295445533529
"FAM86C1",8.11841538517525,8.07192924682239,8.29193334840668,8.62375317028858,8.69976493619378,8.77020369339001
"HIST1H2BI",3.51549921232901,3.415840881534,3.38646802336307,3.60866892988498,3.52014859847775,3.46098541287792
"HIST1H4E",4.22310801405543,4.48930952718406,4.42316084921993,5.78083814991944,5.46517227262969,5.44722551532728
"HIST1H2AJ",3.32400630975578,3.19657052987043,3.27851046411708,3.27122592725817,3.30258567886809,3.31912222497482
"HIST1H2BF",3.97731578076539,3.67614040201249,3.72018097304694,4.26382479513494,4.03392441639047,4.2686246803394
"C2CD4B",4.15684836970008,4.22769253797967,4.3084485045381,4.66925375388684,4.57745699332677,4.43569223889772
"HIST1H2BE",5.55485197333142,5.22460605940447,5.47222330238218,4.89653989282359,4.97041255868164,5.05506163105696
"HIST1H3A",3.96178517017607,3.98387496152999,3.85958362394197,4.10204911091049,4.80348122823146,4.30803726781643
"RAB3D",5.52049843113801,5.63119760960634,5.56767234486427,5.12575426561315,4.6124487913675,5.14855946179875
"PDZD9",4.24335130414347,4.40210982385428,4.24446974979571,4.47178468987848,4.52079520042738,4.32312666141724
"CACNG8",7.99695864103579,7.98957702635026,8.01496604360652,8.07799280633575,7.93268734472042,7.99502526703038
"MORC2",8.36344692571881,8.39020791567916,8.34841473451013,8.05319053319012,8.13383974400898,8.12241460157607
"HIST1H2BN",6.63979096416941,6.61024542023324,6.63908142533549,6.9889507713992,7.10455736143394,7.09763960571748
"GPR32",3.83853423202541,3.83974816003778,3.71904268149457,3.58754767001011,3.72384164932406,3.80706354757644
"PCDHGB5",5.85795373452075,6.02630096531305,5.97211108146459,6.38503277566395,6.35316150117153,6.42561741030826
"ZNF600",8.32595524382788,8.3899630023515,8.53758049390659,8.62333643843886,8.56904079470328,8.62296009309553
"KRTAP6-2",6.62664589703222,6.52385321692727,6.7210192848268,6.60727076359824,6.55401501878343,6.66970447771171
"KRTAP20-1",4.0328863648919,4.1715135795759,4.14806098396503,4.17185159064428,4.31319806485059,4.02582478545134
"HIST1H2BH",5.37506854687641,5.30651047424893,5.40514923763416,5.55959746087275,5.484364763328,5.56016881637567
"PCDHGA1",2.67382909313545,2.68597894273837,2.63732565510761,2.64707359592126,2.67869205864641,2.5731764666793
"GLIPR1L2",2.90114952603602,2.92074267318837,3.08632948379009,3.15913523367716,2.99759581505199,3.03778663475651
"SNAPC5",4.72678799741805,5.05578308468567,4.84741723066911,5.62523495762218,5.65843722930892,6.13499240770904
"OR8U1 /// OR8U9",4.7878284090127,5.00380737453735,4.88394402308525,5.08584403004447,5.10752277524045,4.65714538306556
"SSX2B /// SSX7",7.93772340705943,7.75648804397194,8.01415844516247,7.97542047265049,7.89690842121437,7.91523790311294
"CGB /// CGB1 /// CGB2 /// CGB5 /// CGB7 /// CGB8",8.59538968483517,8.59973475752513,8.57944192070115,9.01433406023661,9.01991514295566,9.03436856397384
"IFNA10",2.82272557606217,2.86264688416622,3.03251068374261,3.12298932216585,3.11852079825889,3.01945504487532
"PCDHA13",4.99946949942949,4.9540091064798,4.85193527858997,5.04216954323513,4.75259489339231,5.06358613515245
"PCDHGB3",4.36958408980754,4.00160223648279,4.14664349392156,3.90848928332184,3.84548418801771,3.72758544642909
"GSC2",3.57477026449792,3.63013328888089,3.67008361560526,3.77700480468136,3.60947138584641,3.60536686474169
"OR9Q2",4.59541608054646,4.58451125966141,4.6923161613405,5.01204769066046,4.78563483040692,4.68027849752465
"KRTAP19-7",5.39053752728037,5.44389178145851,5.40560076251064,5.45047335321913,5.5942556590551,5.37185936986096
"KRTAP20-2",5.46065357613554,5.36595852764928,5.55458237530154,5.5238819096937,5.36774506076246,5.33668376409178
"SSX2B /// SSX7",5.70283706624507,5.61749775385529,5.79113677412618,5.6224008782399,5.63192495768083,5.58287128386534
"MAATS1",3.45272240102803,3.72667585485225,3.73523900854284,3.72329580315352,3.89601361373646,3.82891988643208
"HIST2H2AB",3.61731225122611,3.75182199181732,3.71571437741269,3.55431704555824,3.9617761434429,3.75182199181732
"HIST2H2AB",3.90921757612789,3.89805944417952,3.91122890544497,4.05118622053988,3.76914315760983,3.95972955917166
"PCDHA4",6.18887984295128,6.23132837217997,6.29383474273223,6.27103769649481,6.19114183516958,6.40312873258711
"PRB3",4.95194949172178,4.94403863388117,5.43456490399592,4.93242403476487,4.69885556073133,4.92962502575545
"PCDHGB1",3.24267931144131,3.11975559308083,3.1959185404928,3.01541244261381,3.12491499817857,3.03778663475651
"PCDHGB1",3.83537753861789,3.93672189523649,3.92155876058886,3.97084547771341,3.89134821658784,3.84540929231857
"ZNF675",3.82276025093673,3.64904052345008,3.72241473205521,3.67748975065807,3.67748975065807,3.63561962812965
"TUBB7P /// TUBB8 /// TUBB8P7 /// TUBBP5",8.33841082993189,8.23921999311252,8.36745099960399,8.0819532613855,7.86669918225706,8.0673997192472
"KRTAP6-1",11.0933859427213,11.0279843765117,11.2032597499411,11.080230455983,10.9707114093606,11.0100577989738
"KRTAP19-2",3.74743865854777,3.50993733282243,3.709662436879,3.52090426735877,3.48532994540055,3.55153053114271
"KRTAP19-4",3.02043537538776,3.24458628986108,3.06306226370602,3.22723203761511,3.21802131249362,3.12558618674544
"SFT2D1",10.1510191892442,10.1051910524322,10.1398355961707,9.94814684387236,10.0009393592889,10.0013824767016
"LOC650293",3.67370198346599,3.59166722846823,3.38613439033115,3.77419527339755,3.63905343401263,3.4730751705918
"KRTAP21-2",5.43677700102705,5.63716596287489,5.48794443212978,5.688237636727,5.45897577089433,5.39488947477607
"HIST1H2AK",4.69730110724537,4.98229329392548,4.86462917649113,4.92925698377498,5.0599663480584,5.2336370781649
"DEFB128",3.54313095013582,3.24021944516921,3.63632896297801,3.56891984956383,3.23172306933282,3.44836516796227
"IGLL3P",4.02337259774195,3.97794282861663,3.69190188040081,3.57717682226546,3.99945043545362,3.56695062102566
"DNAJC12",6.33572835147128,6.22152358653115,6.37761116160414,6.90942567990622,6.93565188429031,7.12679569674303
"DNAJC12",4.88184083252822,4.95462236399962,4.78676295968254,5.35371862524141,5.4661141918787,5.46065357613554
