"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"EGR1",-5.73432079613502,7.8392060481507,-164.422017702152,4.31159663724868e-14,8.65941068625025e-10,21.9636435697628
"ANKRD1",-4.45849012284463,7.08595768723703,-111.838555524014,6.83161179322911e-13,3.32072399377102e-09,20.1601578738719
"IL24",-4.6551086584581,7.53266251728633,-111.791898984525,6.8520754510792e-13,3.32072399377102e-09,20.1578937280856
"CXCL3",-3.63383050291639,10.1668601672987,-110.389041635821,7.50125482352174e-13,3.32072399377102e-09,20.0890724447751
"ARID5B",-3.8958595046697,8.63052252522154,-108.902029977689,8.26708821392905e-13,3.32072399377102e-09,20.0145216100802
"KRTAP2-3",-3.35021692795059,10.3296514027466,-104.334970690942,1.12386549771632e-12,3.56105698077349e-09,19.7747398655788
"CSF2",-3.43500120061348,11.3314617619318,-100.146492280189,1.50747555617777e-12,3.56105698077349e-09,19.539486594957
"HIST2H2BC",-4.46007260495835,7.17698433084202,-98.4254953677721,1.70688651229749e-12,3.56105698077349e-09,19.438259004319
"PPP1R15A",-3.6960683213109,10.1827394450694,-96.7175907743002,1.93503207961327e-12,3.56105698077349e-09,19.3350329437061
"EGR2",-3.52871784178512,6.04624243942633,-96.6773266634385,1.94081521676808e-12,3.56105698077349e-09,19.3325652895657
"SDSL",-3.48828544640304,8.04676515063396,-96.610965498093,1.95038970267419e-12,3.56105698077349e-09,19.3284947634832
"OSGIN1",-3.25909291895266,8.60245425799475,-92.1120481063475,2.74498589267421e-12,4.31954435223089e-09,19.042128454928
"HBEGF",-3.28299111023621,9.60536813083236,-91.8758476731157,2.79596079361689e-12,4.31954435223089e-09,19.0265073065199
"LMNB1",3.56089746048453,7.54338159359664,90.2464750901629,3.1784842590365e-12,4.5597627041778e-09,18.91708015558
"MMP3",-4.88316211711544,6.78365502901508,-88.3761665659131,3.69313251639467e-12,4.81322650478694e-09,18.7877793472533
"TXNIP",-3.16159782497597,10.3334075379513,-87.914174208473,3.83447640293722e-12,4.81322650478694e-09,18.7552143278488
"PPP1R3C",-3.13455175496822,8.35276941423789,-86.0997372206801,4.45251823424844e-12,5.08014890551248e-09,18.6248428860279
"DDIT3",-3.84503754960467,9.22860210587248,-85.2920206734406,4.763617622317e-12,5.08014890551248e-09,18.5655074999594
"HECW2",-4.28330829533437,6.67931830695032,-84.2219075239525,5.21466749943633e-12,5.08014890551248e-09,18.4856284858344
"DHRS2",-7.18142981125048,8.20117296934039,-83.99915453166,5.31456527943828e-12,5.08014890551248e-09,18.4688163431765
"NEURL1B",2.77043394370264,6.27142640466202,83.7301208025255,5.43813816589176e-12,5.08014890551248e-09,18.4484253236829
"C6orf58",-3.6512552862307,7.02630516870137,-83.4615131695373,5.56479167104534e-12,5.08014890551248e-09,18.4279723179865
"FOS",-3.59700143664321,7.71062685395594,-82.1394435045897,6.23928159130091e-12,5.44487140908294e-09,18.3259108135768
"HIST2H2AA3 /// HIST2H2AA4",-2.79588646555558,8.98672791241628,-81.6600449452771,6.50651831398081e-12,5.44487140908294e-09,18.2883205657613
"IL1RL1",-3.69684698008102,6.40938760095143,-80.9216253206395,6.94406410637045e-12,5.47632747158032e-09,18.2298023496788
"LMNB1 /// PCIF1",3.85380346909065,7.28833700958681,80.6879342129294,7.089450022958e-12,5.47632747158032e-09,18.2111249291357
"CFAP58",-4.47775802494286,5.79609091126271,-80.157804876594,7.43229993482061e-12,5.52853007003471e-09,18.168470281308
"MYEF2",-2.75334739165497,5.47566046313373,-79.373590618892,7.97469450376651e-12,5.72013444334452e-09,18.1046375850185
"RIMS2",-2.43364928725761,7.01699585993241,-78.5743555075849,8.57438045050026e-12,5.79402018779993e-09,18.038665208049
"RND3",-2.57225800768456,11.1013618911686,-78.4721873975949,8.65468062308295e-12,5.79402018779993e-09,18.0301641474428
"HIST1H4H",-4.44777497465957,7.03044467378118,-77.5339326842856,9.4335726794902e-12,6.1117378611252e-09,17.9513670982422
"ARL5B",-2.93341747623915,7.12017308468246,-76.4597805587758,1.04251168793603e-11,6.43658294479236e-09,17.8595162635281
"SNHG12",-2.78242749122657,11.5390541801098,-76.3066278032081,1.05759428987327e-11,6.43658294479236e-09,17.8462748904398
"SERPINB2",-4.12647135003748,11.2719984472226,-74.9981300220367,1.19710271082734e-11,6.92488270287567e-09,17.7316339688017
"KLF5",-2.55381119726163,8.91947479337133,-74.7427147749202,1.2267177173048e-11,6.92488270287567e-09,17.7089363635132
"AADAC",-2.85125009769502,7.00625171857473,-74.6198068895922,1.24126557111892e-11,6.92488270287567e-09,17.6979763023192
"CREB5",-2.64082795203702,7.90066204052468,-74.1841583214309,1.29443689177953e-11,6.99659247930517e-09,17.6589290806402
"ARL14",-6.27875987323203,7.13585849650212,-73.9522854452132,1.3237926419717e-11,6.99659247930517e-09,17.6380187560667
"CREBRF",-2.80997284291238,7.18324522739659,-71.9423809471282,1.61264582171204e-11,7.80146733428478e-09,17.4529650296662
"EPG5",-2.59157067191427,8.36138827078983,-71.8457880279442,1.62824015708214e-11,7.80146733428478e-09,17.4438964697882
"NABP1",-2.47068498655571,8.72014499393747,-71.3759927529882,1.70657832991227e-11,7.80146733428478e-09,17.3995557477473
"EFEMP1",2.40663342035102,9.15799562497308,71.1604086427878,1.74395802150954e-11,7.80146733428478e-09,17.3790772330591
"ST7L",-2.46095606583875,6.32633782595886,-70.840737374824,1.80111519522169e-11,7.80146733428478e-09,17.3485582958914
"ABCC9",-2.52960842977432,6.77179240510891,-70.798851532788,1.80876133412635e-11,7.80146733428478e-09,17.3445458444607
"TRIML2",-2.260959351449,10.0998471737765,-70.6570406479382,1.83492439555511e-11,7.80146733428478e-09,17.3309375449219
"PLA2G4C",-3.07515436325433,5.39477206163643,-70.5961816577325,1.84628444799983e-11,7.80146733428478e-09,17.3250862936114
"ZNF441",-3.12377456869782,8.08936512896689,-70.5474192384983,1.8554443699202e-11,7.80146733428478e-09,17.3203932089242
"IER2",-2.67360994657897,10.6798035852235,-70.310821607482,1.9006303326848e-11,7.80146733428478e-09,17.2975606712814
"ADTRP",-2.92304666971582,6.87833210844273,-70.2967069307174,1.90336536237778e-11,7.80146733428478e-09,17.2961953231141
"ARRDC3",-2.50869127122528,7.63100964869113,-69.6924226436405,2.02477498011293e-11,8.13311614011763e-09,17.2373976236666
"KLRC1 /// KLRC2",-4.52188355046601,7.18279712272003,-69.1338680605285,2.14489716150556e-11,8.44668913562308e-09,17.1824455542613
"CDKN2B",-2.72278923787686,6.79547001324431,-68.6650348794193,2.25201776697636e-11,8.54451720527765e-09,17.1358659035139
"AREG",-3.54941281606722,8.23322878364134,-68.6530846132177,2.25482678689362e-11,8.54451720527765e-09,17.1346731425029
"ATF3",-3.10288347821891,6.82581456869894,-67.9610328297021,2.42452140193961e-11,8.77400694450039e-09,17.0651298587574
"PPP1R10",-2.2328723683918,8.65953418492076,-67.9443198547907,2.42879581065971e-11,8.77400694450039e-09,17.0634389089833
"SERPINB7",-3.78281446431846,7.67858212855224,-67.8756572198444,2.44644686761612e-11,8.77400694450039e-09,17.0564861812187
"SCG2",-4.42625169467476,6.12572462928575,-67.195862060666,2.62931760685619e-11,8.99568422188705e-09,16.9871500681819
"SCD",2.61193132165218,7.39157091187352,67.0910973483804,2.65886293094207e-11,8.99568422188705e-09,16.9763830157395
"CPEB4",-2.59600300399128,7.14632102345416,-67.0359884206991,2.67455622908881e-11,8.99568422188705e-09,16.9707104630918
"FILIP1L",-2.1907694014783,7.97079621025706,-66.7745789542304,2.75044974671394e-11,8.99568422188705e-09,16.9437196463806
"H1F0",-2.2560491153333,11.1461659829081,-66.7516770957145,2.75721478145319e-11,8.99568422188705e-09,16.9413484486665
"HRH1",-2.67751328323082,8.72214979951166,-66.6487306247862,2.78785944600677e-11,8.99568422188705e-09,16.9306765524146
"DUSP5",-2.35414315716948,10.3988619520401,-66.4866582375807,2.83689411908238e-11,8.99568422188705e-09,16.913831874758
"ARRDC4",-3.24176489280561,6.41682434496936,-66.3900841226395,2.86657931786881e-11,8.99568422188705e-09,16.9037692353858
"CD163L1",-3.23267437697965,9.20027859729054,-66.2035836065435,2.92491352669268e-11,9.03753281078397e-09,16.8842827159299
"THUMPD2",-2.86618845421465,7.72394843179909,-65.6995143893276,3.08946546069722e-11,9.4013370170671e-09,16.8312568906344
"CNST",-2.13909881809672,7.78197378254791,-65.3379696933378,3.21399282508666e-11,9.45597417765201e-09,16.792898768053
"HIST1H4J /// HIST1H4K",-2.68009704287023,8.83486640369738,-65.3068640283182,3.22497109294542e-11,9.45597417765201e-09,16.7895858062939
"TNFRSF9",-4.04288356265341,7.0872494956768,-65.1855877882101,3.26818358081073e-11,9.45597417765201e-09,16.7766496056307
"HIST1H2BD",-2.51029262614836,7.41554971924876,-65.1091761366107,3.29574881714619e-11,9.45597417765201e-09,16.7684830376951
"DZIP3",-2.36481293740951,7.47814861858283,-64.815464197895,3.4041984379916e-11,9.62956639839765e-09,16.7369769691275
"CXCL2",-2.54252129062665,11.9359700087519,-64.5524360221035,3.50477981919985e-11,9.67829940856225e-09,16.7086059932633
"ZBTB20",-2.10273552064645,8.62051838749846,-64.5190052908123,3.51780450520337e-11,9.67829940856225e-09,16.7049894182716
"ADPRM",-3.45100565529859,8.64606169466799,-64.2684584361615,3.61719245765056e-11,9.76137842706216e-09,16.6778081758189
"ARL4C",2.43989850660161,8.79891930864197,64.1809546445926,3.65265462369393e-11,9.76137842706216e-09,16.6682830495593
"OSER1",-2.03486646592362,9.76001802175106,-63.8419904696642,3.79381391040711e-11,9.76137842706216e-09,16.6312278433906
"WHAMM",-2.27291389046025,10.4280379151365,-63.8291674809054,3.79927469770704e-11,9.76137842706216e-09,16.6298211070808
"TNFAIP3",-2.91642934987842,10.5951652920776,-63.7792714575469,3.82060875653993e-11,9.76137842706216e-09,16.6243438602983
"TSPAN2",-2.72461224200249,8.28818331316353,-63.6741137961731,3.86601949290495e-11,9.76137842706216e-09,16.6127824067946
"RSRC2",-2.30449562345853,10.6105385057676,-63.6142082277954,3.89216357207929e-11,9.76137842706216e-09,16.6061852346709
"ADM",-2.0820211203684,9.52279642839025,-63.512928678693,3.93682360382411e-11,9.76137842706216e-09,16.5950136367551
"ARNTL",-2.19715559254466,7.62055221747035,-62.8382074343524,4.24969295644138e-11,1.02513325417706e-08,16.5200044874943
"MAP3K7CL",-2.17880755256815,7.78232527266723,-62.7885519078013,4.27381537159906e-11,1.02513325417706e-08,16.5144437808359
"LPCAT1",2.02546853747788,8.76716216831085,62.72236439223,4.3062118665787e-11,1.02513325417706e-08,16.5070230326256
"BIK",-2.41693784562631,8.45375602874856,-62.6567702162031,4.33859423446773e-11,1.02513325417706e-08,16.4996589862762
"ABL2",-2.45986154962197,8.68406222099284,-62.3608389092669,4.48818067954108e-11,1.04814675311515e-08,16.4663136484923
"NFIL3",-2.54143447765345,9.12071543741568,-62.1882878502093,4.57810941484702e-11,1.0568591895148e-08,16.446777968648
"DIO2",-2.92771170894481,5.81540299813757,-61.988179394817,4.68498162265921e-11,1.0692405785169e-08,16.4240361909452
"ERRFI1",-2.2362104816381,11.8245495457863,-61.8869210144324,4.74014200373508e-11,1.06967429216871e-08,16.4124930349612
